date,day_of_week,stress_score,caffeine_mg,caffeine_hours_before_bed,screen_time_before_bed_min,room_temp_c,noise_level_db,exercise_minutes,exercise_time_of_day,last_meal_delta_hr,sleep_duration_min,sleep_quality
2025-09-21,6,4.18,122.8,3.81,38.4,19.03,41.4,23.1,morning,1.73,399.7,6.56
2025-09-22,0,3.64,169.2,7.24,17.7,21.96,33.5,0.0,none,1.86,426.4,6.71
2025-09-23,1,5.0,121.2,3.4,45.9,19.63,53.1,25.0,afternoon,2.93,487.6,7.38
2025-09-24,2,6.32,68.1,9.74,20.6,20.9,27.8,12.1,evening,3.58,437.0,6.95
2025-09-25,3,4.82,100.0,4.76,52.4,22.62,46.5,9.9,morning,0.38,398.6,5.4
2025-09-26,4,4.35,214.0,10.8,35.5,19.97,36.9,29.5,afternoon,3.01,477.7,7.9
2025-09-27,5,3.77,156.7,4.12,0.0,16.67,29.9,35.6,morning,2.72,397.0,8.69
2025-09-28,6,4.24,133.0,2.79,45.6,17.62,49.3,11.4,afternoon,2.46,416.0,5.93
2025-09-29,0,4.52,81.6,7.36,41.4,19.09,37.0,12.8,morning,2.39,424.9,7.5
2025-09-30,1,4.9,40.0,5.66,39.2,23.35,39.8,52.7,morning,4.45,509.9,6.6
2025-10-01,2,4.59,71.1,3.37,81.6,21.98,35.3,50.0,evening,4.86,388.6,3.74
2025-10-02,3,4.42,0.0,10.18,29.6,21.83,56.9,17.9,afternoon,2.64,408.3,7.13
2025-10-03,4,4.2,177.8,8.14,0.0,18.29,50.0,33.0,morning,2.3,461.0,7.78
2025-10-04,5,3.54,59.3,5.82,43.0,21.53,28.2,32.1,morning,3.08,430.3,7.7
2025-10-05,6,3.52,105.3,8.78,42.6,18.9,34.1,29.0,morning,3.08,469.8,8.14
2025-10-06,0,5.14,180.7,4.2,16.9,20.36,34.4,2.2,none,1.93,405.9,5.86
2025-10-07,1,5.93,138.5,14.0,38.4,19.98,38.0,30.1,morning,4.99,453.4,6.45
2025-10-08,2,5.71,30.7,9.31,60.4,18.96,37.9,0.0,none,3.76,375.1,5.61
2025-10-09,3,5.59,92.8,5.59,49.8,18.41,30.8,28.1,afternoon,3.99,456.1,6.43
2025-10-10,4,4.79,228.1,3.6,61.6,19.32,54.1,36.8,afternoon,1.87,455.9,5.94
2025-10-11,5,4.82,121.4,7.28,47.6,18.17,31.5,29.7,morning,4.44,443.2,7.6
2025-10-12,6,5.43,83.0,4.54,28.5,18.25,40.7,28.7,afternoon,3.16,448.3,7.08
2025-10-13,0,5.23,146.4,4.82,42.4,21.7,32.6,26.0,morning,1.87,463.6,5.95
2025-10-14,1,5.9,158.6,12.92,31.2,25.96,36.2,30.1,morning,2.95,418.4,6.44
2025-10-15,2,6.82,147.1,7.81,16.8,21.25,36.9,12.8,morning,5.71,365.2,5.91
2025-10-16,3,5.59,121.0,8.64,46.1,21.72,32.8,31.8,afternoon,1.76,377.2,6.16
2025-10-17,4,6.12,169.2,9.93,35.8,21.9,25.0,42.3,morning,3.25,392.0,7.01
2025-10-18,5,4.59,74.4,6.69,58.8,18.04,30.2,10.5,morning,0.87,376.8,4.65
2025-10-19,6,4.82,47.9,4.65,66.2,18.16,36.3,45.5,afternoon,1.81,417.9,7.16
2025-10-20,0,5.69,150.5,5.97,44.6,21.08,46.2,14.0,afternoon,2.43,383.6,6.22
2025-10-21,1,6.14,156.0,3.05,59.2,24.52,46.0,53.5,afternoon,0.51,397.1,2.6
2025-10-22,2,5.26,66.9,6.81,47.3,17.89,34.4,55.2,morning,3.54,441.0,6.32
2025-10-23,3,5.95,171.1,9.73,12.0,22.5,31.2,30.2,morning,3.08,399.8,7.29
2025-10-24,4,4.6,169.5,7.56,58.0,20.42,26.8,44.3,morning,2.91,485.5,6.87
2025-10-25,5,4.13,93.6,5.32,23.2,21.09,50.9,15.2,morning,0.2,410.2,6.33
2025-10-26,6,3.89,177.1,4.02,41.5,19.82,25.0,2.4,none,0.2,395.1,5.0
2025-10-27,0,5.59,170.2,5.33,61.1,19.17,46.1,0.0,none,2.01,399.7,4.78
